epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,198.402,1.82463,3.57544,1.164,0.01533,0.47098,0.0591,0.02632,1.67399,3.8234,1.08637,0.00029997,0.00029997,0.00029997
2,454.529,1.73163,2.30813,1.08362,0.02488,0.78193,0.14301,0.06668,1.65206,3.41557,1.13954,0.000598951,0.000598951,0.000598951
3,667.999,1.60338,1.99301,1.0881,0.17421,0.08607,0.169,0.08466,1.64118,2.98849,1.178,0.000885614,0.000885614,0.000885614
4,933.18,1.60936,1.86666,1.09563,0.32056,0.20008,0.22216,0.10991,1.68311,2.78587,1.19688,0.00104501,0.00104501,0.00104501
5,1200.01,1.55897,1.72534,1.06626,0.27903,0.46388,0.24126,0.12724,1.62826,2.41581,1.18672,0.00102301,0.00102301,0.00102301
6,1477.93,1.51312,1.64399,1.0658,0.2532,0.35765,0.24681,0.13155,1.64998,2.24916,1.18645,0.00100101,0.00100101,0.00100101
7,1767.1,1.5183,1.57135,1.05604,0.30007,0.36945,0.29707,0.16209,1.64748,2.40408,1.19831,0.000979013,0.000979013,0.000979013
8,2056.02,1.49171,1.51619,1.04019,0.44175,0.46924,0.45367,0.22484,1.74308,2.18716,1.22752,0.000957015,0.000957015,0.000957015
9,2338.59,1.49693,1.44747,1.04526,0.40497,0.4339,0.41574,0.21842,1.75417,2.06762,1.23931,0.000935018,0.000935018,0.000935018
10,2626.19,1.47671,1.4299,1.03325,0.44841,0.42612,0.4371,0.23927,1.69148,2.18419,1.24616,0.00091302,0.00091302,0.00091302
11,2915.66,1.44208,1.37018,1.01,0.47926,0.44274,0.4223,0.20904,1.82385,2.41499,1.25835,0.000891022,0.000891022,0.000891022
12,3219.68,1.42742,1.34963,1.00919,0.50368,0.44977,0.45553,0.24089,1.73113,1.93271,1.21917,0.000869024,0.000869024,0.000869024
13,3380.25,1.43865,1.33586,1.01117,0.41961,0.42231,0.41141,0.21819,1.65642,2.40489,1.1973,0.000847026,0.000847026,0.000847026
14,3553.32,1.40127,1.28172,1.00958,0.46749,0.44897,0.44985,0.2264,1.71461,2.09196,1.18904,0.000825029,0.000825029,0.000825029
15,3727.82,1.43813,1.27171,1.01253,0.45841,0.42221,0.41369,0.21046,1.7163,2.4081,1.20223,0.000803031,0.000803031,0.000803031
16,3899.47,1.40781,1.2524,1.011,0.4754,0.48579,0.48556,0.25411,1.78252,2.02882,1.22884,0.000781033,0.000781033,0.000781033
17,4072.14,1.41353,1.22952,0.99885,0.44045,0.5129,0.46282,0.25346,1.69064,1.99538,1.20865,0.000759035,0.000759035,0.000759035
